admin2Name_en;admin2RefName;SenDist_en;admin1Name_en;admin0Name_en;validOn
Aba North;Aba North;Abia South;Abia;Nigeria;17/04/2019
Aba South;Aba South;Abia South;Abia;Nigeria;17/04/2019
Abadam;Abadam;Borno North;Borno;Nigeria;17/04/2019
Abaji;Abaji;Federal Capital Territory;Federal Capital Territory;Nigeria;17/04/2019
Abak;Abak;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Abakaliki;Abakaliki;Ebonyi North;Ebonyi;Nigeria;17/04/2019
Abeokuta North;Abeokuta North;Ogun Central;Ogun;Nigeria;17/04/2019
Abeokuta South;Abeokuta South;Ogun Central;Ogun;Nigeria;17/04/2019
Abi;Abi;Cross River Central;Cross River;Nigeria;17/04/2019
Aboh-Mbaise;Aboh-Mbaise;Imo East;Imo;Nigeria;17/04/2019
Abua/Odual;Abua/Odual;Rivers West;Rivers;Nigeria;17/04/2019
Abuja Municipal;Abuja Municipal;Federal Capital Territory;Federal Capital Territory;Nigeria;17/04/2019
Adavi;Adavi;Kogi Central;Kogi;Nigeria;17/04/2019
Ado;Ado;Benue South;Benue;Nigeria;17/04/2019
Ado-Odo/Ota;Ado-Odo/Ota;Ogun West;Ogun;Nigeria;17/04/2019
Ado Ekiti;Ado Ekiti;Ekiti Central;Ekiti;Nigeria;17/04/2019
Afijio;Afijio;Oyo Central;Oyo;Nigeria;17/04/2019
Afikpo North;Afikpo North;Ebonyi South;Ebonyi;Nigeria;17/04/2019
Afikpo South;Afikpo South;Ebonyi South;Ebonyi;Nigeria;17/04/2019
Agaie;Agaie;Niger South;Niger;Nigeria;17/04/2019
Agatu;Agatu;Benue South;Benue;Nigeria;17/04/2019
Agege;Agege;Lagos West;Lagos;Nigeria;17/04/2019
Aguata;Aguata;Anambra South;Anambra;Nigeria;17/04/2019
Agwara;Agwara;Niger North;Niger;Nigeria;17/04/2019
Ahiazu-Mbaise;Ahiazu-Mbaise;Imo East;Imo;Nigeria;17/04/2019
Ahoada East;Ahoada East;Rivers West;Rivers;Nigeria;17/04/2019
Ahoada West;Ahoada West;Rivers West;Rivers;Nigeria;17/04/2019
Aiyedade;Aiyedade;Osun West;Osun;Nigeria;17/04/2019
Aiyedire;Aiyedire;Osun West;Osun;Nigeria;17/04/2019
Aiyekire (Gbonyin);Aiyekire (Gbonyin);Ekiti South;Ekiti;Nigeria;17/04/2019
Ajaokuta;Ajaokuta;Kogi Central;Kogi;Nigeria;17/04/2019
Ajeromi-Ifelodun;Ajeromi-Ifelodun;Lagos West;Lagos;Nigeria;17/04/2019
Ajingi;Ajingi;Kano South;Kano;Nigeria;17/04/2019
Akamkpa;Akamkpa;Cross River South;Cross River;Nigeria;17/04/2019
Akinyele;Akinyele;Oyo Central;Oyo;Nigeria;17/04/2019
Akko;Akko;Gombe Central;Gombe;Nigeria;17/04/2019
Akoko-Edo;Akoko-Edo;Edo North;Edo;Nigeria;17/04/2019
Akoko North East;Akoko North East;Ondo North;Ondo;Nigeria;17/04/2019
Akoko North West;Akoko North West;Ondo North;Ondo;Nigeria;17/04/2019
Akoko South East;Akoko South East;Ondo North;Ondo;Nigeria;17/04/2019
Akoko South West;Akoko South West;Ondo North;Ondo;Nigeria;17/04/2019
Akpabuyo;Akpabuyo;Cross River South;Cross River;Nigeria;17/04/2019
Akuku Toru;Akuku Toru;Rivers West;Rivers;Nigeria;17/04/2019
Akure North;Akure North;Ondo Central;Ondo;Nigeria;17/04/2019
Akure South;Akure South;Ondo Central;Ondo;Nigeria;17/04/2019
Akwanga;Akwanga;Nassarawa North;Nasarawa;Nigeria;17/04/2019
Albasu;Albasu;Kano South;Kano;Nigeria;17/04/2019
Aleiro;Aleiro;Kebbi Central;Kebbi;Nigeria;17/04/2019
Alimosho;Alimosho;Lagos West;Lagos;Nigeria;17/04/2019
Alkaleri;Alkaleri;Bauchi South;Bauchi;Nigeria;17/04/2019
Amuwo-Odofin;Amuwo-Odofin;Lagos West;Lagos;Nigeria;17/04/2019
Anambra East;Anambra East;Anambra North;Anambra;Nigeria;17/04/2019
Anambra West;Anambra West;Anambra North;Anambra;Nigeria;17/04/2019
Anaocha;Anaocha;Anambra Central;Anambra;Nigeria;17/04/2019
Andoni;Andoni;Rivers South East;Rivers;Nigeria;17/04/2019
Aninri;Aninri;Enugu West;Enugu;Nigeria;17/04/2019
Aniocha North;Aniocha North;Delta North;Delta;Nigeria;17/04/2019
Aniocha South;Aniocha South;Delta North;Delta;Nigeria;17/04/2019
Anka;Anka;Zamfara West;Zamfara;Nigeria;17/04/2019
Ankpa;Ankpa;Kogi East;Kogi;Nigeria;17/04/2019
Apa;Apa;Benue South;Benue;Nigeria;17/04/2019
Apapa;Apapa;Lagos Central;Lagos;Nigeria;17/04/2019
Ardo-Kola;Ardo-Kola;Taraba North;Taraba;Nigeria;17/04/2019
Arewa-Dandi;Arewa-Dandi;Kebbi North;Kebbi;Nigeria;17/04/2019
Argungu;Argungu;Kebbi North;Kebbi;Nigeria;17/04/2019
Arochukwu;Arochukwu;Abia North;Abia;Nigeria;17/04/2019
Asa;Asa;Kwara Central;Kwara;Nigeria;17/04/2019
Asari-Toru;Asari-Toru;Rivers West;Rivers;Nigeria;17/04/2019
Askira/Uba;Askira/Uba;Borno South;Borno;Nigeria;17/04/2019
Atakumosa East;Atakumosa East;Osun East;Osun;Nigeria;17/04/2019
Atakumosa West;Atakumosa West;Osun East;Osun;Nigeria;17/04/2019
Atiba;Atiba;Oyo Central;Oyo;Nigeria;17/04/2019
Atigbo;Atigbo;Oyo North;Oyo;Nigeria;17/04/2019
Augie;Augie;Kebbi North;Kebbi;Nigeria;17/04/2019
Auyo;Auyo;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Awe;Awe;Nassarawa South;Nasarawa;Nigeria;17/04/2019
Awgu;Awgu;Enugu West;Enugu;Nigeria;17/04/2019
Awka North;Awka North;Anambra Central;Anambra;Nigeria;17/04/2019
Awka South;Awka South;Anambra Central;Anambra;Nigeria;17/04/2019
Ayamelum;Ayamelum;Anambra North;Anambra;Nigeria;17/04/2019
Babura;Babura;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Badagry;Badagry;Lagos West;Lagos;Nigeria;17/04/2019
Bade;Bade;Yobe North;Yobe;Nigeria;17/04/2019
Bagudo;Bagudo;Kebbi North;Kebbi;Nigeria;17/04/2019
Bagwai;Bagwai;Kano North;Kano;Nigeria;17/04/2019
Bakassi;Bakassi;Cross River South;Cross River;Nigeria;17/04/2019
Bakori;Bakori;Katsina South;Katsina;Nigeria;17/04/2019
Bakura;Bakura;Zamfara West;Zamfara;Nigeria;17/04/2019
Balanga;Balanga;Gombe South;Gombe;Nigeria;17/04/2019
Bali;Bali;Taraba Central;Taraba;Nigeria;17/04/2019
Bama;Bama;Borno Central;Borno;Nigeria;17/04/2019
Barikin Ladi;Barikin Ladi;Plateau North;Plateau;Nigeria;17/04/2019
Baruten;Baruten;Kwara North;Kwara;Nigeria;17/04/2019
Bassa;Bassa;Kogi East;Kogi;Nigeria;17/04/2019
Bassa;Bassa;Plateau North;Plateau;Nigeria;17/04/2019
Batagarawa;Batagarawa;Katsina Central;Katsina;Nigeria;17/04/2019
Batsari;Batsari;Katsina Central;Katsina;Nigeria;17/04/2019
Bauchi;Bauchi;Bauchi South;Bauchi;Nigeria;17/04/2019
Baure;Baure;Katsina North;Katsina;Nigeria;17/04/2019
Bayo;Bayo;Borno South;Borno;Nigeria;17/04/2019
Bebeji;Bebeji;Kano South;Kano;Nigeria;17/04/2019
Bekwara;Bekwara;Cross River North;Cross River;Nigeria;17/04/2019
Bende;Bende;Abia North;Abia;Nigeria;17/04/2019
Biase;Biase;Cross River North;Cross River;Nigeria;17/04/2019
Bichi;Bichi;Kano North;Kano;Nigeria;17/04/2019
Bida;Bida;Niger South;Niger;Nigeria;17/04/2019
Billiri;Billiri;Gombe South;Gombe;Nigeria;17/04/2019
Bindawa;Bindawa;Katsina North;Katsina;Nigeria;17/04/2019
